"Year (BP 1950)","Year (CE)","Nitrate (μEq/L)","Non sea-salt sulphate (μEq/L)"
607.5,1342.5,0.339,0.435
608.5,1341.5,0.278,0.341
609.5,1340.5,0.368,0.407
610.5,1339.5,0.233,0.285
611.5,1338.5,0.193,0.27
612.5,1337.5,0.288,0.5
613.5,1336.5,0.242,0.419
614.5,1335.5,0.308,0.568
615.5,1334.5,0.3,0.444
616.5,1333.5,0.357,0.405
617.5,1332.5,0.301,0.316
618.5,1331.5,0.326,0.308
619.5,1330.5,0.294,0.187
620.5,1329.5,0.362,0.915
621.5,1328.5,0.194,-0.203
622.5,1327.5,0.274,0.344
623.5,1326.5,0.217,0.444
624.5,1325.5,0.278,0.895
625.5,1324.5,0.285,0.258
626.5,1323.5,0.221,0.31
627.5,1322.5,0.258,0.448
628.5,1321.5,0.299,0.471
629.5,1320.5,0.26,0.348
630.5,1319.5,0.223,0.369
631.5,1318.5,0.4,0.368
632.5,1317.5,0.445,0.486
633.5,1316.5,0.394,0.448
634.5,1315.5,0.441,0.451
635.5,1314.5,0.259,0.46
636.5,1313.5,0.383,0.428
637.5,1312.5,0.307,0.28
638.5,1311.5,0.316,0.295
639.5,1310.5,0.349,0.262
640.5,1309.5,0.306,0.43
641.5,1308.5,0.366,0.344
642.5,1307.5,0.251,0.297
643.5,1306.5,0.271,0.145
644.5,1305.5,0.306,0.457
645.5,1304.5,0.377,0.219
646.5,1303.5,0.291,0.437
647.5,1302.5,0.249,0.227
648.5,1301.5,0.345,0.521
649.5,1300.5,0.416,0.344
650.5,1299.5,0.258,0.364
651.5,1298.5,0.354,0.353
652.5,1297.5,0.447,0.551
653.5,1296.5,0.339,0.48
654.5,1295.5,0.259,0.381
655.5,1294.5,0.472,0.588
656.5,1293.5,0.414,0.444
657.5,1292.5,0.342,0.57
658.5,1291.5,0.415,0.362
659.5,1290.5,0.418,0.374
660.5,1289.5,0.551,0.473
661.5,1288.5,0.37,0.349
662.5,1287.5,0.396,0.412
663.5,1286.5,0.334,0.587
664.5,1285.5,0.308,0.682
665.5,1284.5,0.35,0.387
666.5,1283.5,0.323,0.442
667.5,1282.5,0.397,0.477
668.5,1281.5,0.409,0.541
669.5,1280.5,0.425,0.438
670.5,1279.5,0.42,0.432
671.5,1278.5,0.449,0.447
672.5,1277.5,0.297,0.717
673.5,1276.5,0.545,1.488
674.5,1275.5,0.34,1.287
675.5,1274.5,0.678,0.398
676.5,1273.5,0.568,0.552
677.5,1272.5,0.374,0.444
678.5,1271.5,0.366,0.553
679.5,1270.5,0.862,0.44
680.5,1269.5,0.887,0.704
681.5,1268.5,0.387,1.879
682.5,1267.5,0.413,0.591
683.5,1266.5,0.437,0.491
684.5,1265.5,0.465,0.469
685.5,1264.5,0.42,0.291
686.5,1263.5,0.491,0.444
687.5,1262.5,0.596,0.482
688.5,1261.5,0.479,0.447
689.5,1260.5,0.821,0.694
690.5,1259.5,0.525,0.468
691.5,1258.5,0.421,1.332
692.5,1257.5,0.823,3.73
693.5,1256.5,0.362,0.513
694.5,1255.5,0.314,0.254
695.5,1254.5,0.303,0.356
696.5,1253.5,0.286,0.384
697.5,1252.5,0.337,0.296
698.5,1251.5,0.327,0.149
699.5,1250.5,0.378,0.489
700.5,1249.5,0.391,0.447
701.5,1248.5,0.543,0.274
702.5,1247.5,0.575,0.326
703.5,1246.5,0.313,0.445
704.5,1245.5,0.315,0.346
705.5,1244.5,0.338,0.353
706.5,1243.5,0.356,0.481
707.5,1242.5,0.381,0.377
708.5,1241.5,0.324,0.301
709.5,1240.5,0.38,0.826
710.5,1239.5,0.329,0.369
711.5,1238.5,0.278,0.299
712.5,1237.5,0.411,0.416
713.5,1236.5,0.422,0.532
714.5,1235.5,0.344,0.34
715.5,1234.5,0.368,0.622
716.5,1233.5,0.28,0.394
717.5,1232.5,0.301,0.487
718.5,1231.5,0.352,0.423
719.5,1230.5,0.477,0.717
720.5,1229.5,0.541,1.353
721.5,1228.5,0.293,0.608
722.5,1227.5,0.405,0.467
723.5,1226.5,0.343,0.559
724.5,1225.5,0.347,0.39
725.5,1224.5,0.381,0.776
726.5,1223.5,0.337,0.515
727.5,1222.5,0.499,0.387
728.5,1221.5,0.448,0.35
729.5,1220.5,0.372,0.478
730.5,1219.5,0.37,0.341
731.5,1218.5,0.339,0.637
732.5,1217.5,0.32,0.384
733.5,1216.5,0.481,0.52
734.5,1215.5,0.33,0.452
735.5,1214.5,0.32,0.547
736.5,1213.5,0.438,0.603
737.5,1212.5,0.285,0.473
738.5,1211.5,0.298,0.377
739.5,1210.5,0.318,0.386
740.5,1209.5,0.342,0.411
741.5,1208.5,0.271,0.49
742.5,1207.5,0.358,0.404
743.5,1206.5,0.472,0.346
744.5,1205.5,0.357,0.374
745.5,1204.5,0.368,0.433
746.5,1203.5,0.425,0.505
747.5,1202.5,0.44,0.394
748.5,1201.5,0.318,0.419
749.5,1200.5,0.427,0.492
750.5,1199.5,0.375,0.467
751.5,1198.5,0.371,0.358
752.5,1197.5,0.455,0.225
753.5,1196.5,0.372,0.159
754.5,1195.5,0.35,0.154
755.5,1194.5,0.403,0.106
756.5,1193.5,0.416,0.207
757.5,1192.5,0.365,0.058
758.5,1191.5,0.415,0.093
759.5,1190.5,0.396,0.192
760.5,1189.5,0.404,0.072
761.5,1188.5,0.457,0.168
762.5,1187.5,0.408,0.141
763.5,1186.5,0.398,0.153
764.5,1185.5,0.455,0.419
765.5,1184.5,0.434,0.428
766.5,1183.5,0.442,0.374
767.5,1182.5,0.422,0.557
768.5,1181.5,0.375,0.619
769.5,1180.5,0.542,0.514
770.5,1179.5,0.363,0.336
771.5,1178.5,0.327,0.6
772.5,1177.5,0.35,0.513
773.5,1176.5,0.391,0.428
774.5,1175.5,0.359,0.409
775.5,1174.5,0.383,0.406
776.5,1173.5,0.258,0.288
777.5,1172.5,0.373,0.641
778.5,1171.5,0.342,0.605
779.5,1170.5,0.371,0.714
780.5,1169.5,0.417,0.452
781.5,1168.5,0.438,0.401
782.5,1167.5,0.417,0.368
783.5,1166.5,0.407,0.38
784.5,1165.5,0.442,0.494
785.5,1164.5,0.451,0.466
786.5,1163.5,0.432,0.388
787.5,1162.5,0.376,0.37
788.5,1161.5,0.356,0.372
789.5,1160.5,0.355,0.283
790.5,1159.5,0.4,0.595
791.5,1158.5,0.442,0.786
792.5,1157.5,0.372,0.428
793.5,1156.5,0.397,0.26
794.5,1155.5,0.474,0.34
795.5,1154.5,0.363,0.325
796.5,1153.5,0.392,0.404
797.5,1152.5,0.464,0.396
798.5,1151.5,0.502,0.362
799.5,1150.5,0.388,0.365
800.5,1149.5,0.38,0.486
801.5,1148.5,0.564,0.371
802.5,1147.5,0.396,0.312
803.5,1146.5,0.407,0.409
804.5,1145.5,0.512,0.599
805.5,1144.5,0.383,0.491
806.5,1143.5,0.349,0.486
807.5,1142.5,0.369,0.534
808.5,1141.5,0.412,0.546
809.5,1140.5,0.346,0.509
810.5,1139.5,0.342,0.19
811.5,1138.5,0.271,0.548
812.5,1137.5,0.258,0.356
813.5,1136.5,0.365,0.402
814.5,1135.5,0.295,0.245
815.5,1134.5,0.234,0.342
816.5,1133.5,0.343,0.67
817.5,1132.5,0.357,0.526
818.5,1131.5,0.501,0.301
819.5,1130.5,0.479,0.513
820.5,1129.5,0.499,0.506
821.5,1128.5,0.568,0.453
822.5,1127.5,0.38,0.548
823.5,1126.5,0.398,0.453
824.5,1125.5,0.418,0.396
825.5,1124.5,0.476,0.304
826.5,1123.5,0.358,0.292
827.5,1122.5,0.434,0.369
828.5,1121.5,0.53,0.373
829.5,1120.5,0.352,0.213
830.5,1119.5,0.351,0.335
831.5,1118.5,0.519,0.508
832.5,1117.5,0.328,0.311
833.5,1116.5,0.338,0.493
834.5,1115.5,0.36,0.588
835.5,1114.5,0.34,0.33
836.5,1113.5,0.433,0.701
837.5,1112.5,0.342,0.648
838.5,1111.5,0.298,0.407
839.5,1110.5,0.384,0.428
840.5,1109.5,0.397,0.416
841.5,1108.5,0.492,0.545
842.5,1107.5,0.747,0.346
843.5,1106.5,0.788,0.217
844.5,1105.5,0.488,0.544
845.5,1104.5,0.347,0.471
846.5,1103.5,0.501,0.324
847.5,1102.5,0.493,0.437
848.5,1101.5,0.453,0.353
849.5,1100.5,0.512,0.441
850.5,1099.5,0.482,0.119
851.5,1098.5,0.447,0.486
852.5,1097.5,0.362,0.372
853.5,1096.5,0.422,0.298
854.5,1095.5,0.307,0.428
855.5,1094.5,0.494,0.476
856.5,1093.5,0.34,0.377
857.5,1092.5,0.43,0.37
858.5,1091.5,0.466,0.505
859.5,1090.5,0.555,0.347
860.5,1089.5,0.508,0.244
861.5,1088.5,0.449,0.274
862.5,1087.5,0.423,0.27
863.5,1086.5,0.358,0.343
864.5,1085.5,0.41,0.092
865.5,1084.5,0.608,0.446
866.5,1083.5,0.44,0.381
867.5,1082.5,0.378,0.091
868.5,1081.5,0.376,0.467
869.5,1080.5,0.495,0.631
870.5,1079.5,0.433,0.329
871.5,1078.5,0.563,0.529
872.5,1077.5,0.406,0.477
873.5,1076.5,0.598,0.301
874.5,1075.5,0.431,0.435
875.5,1074.5,0.489,0.446
876.5,1073.5,0.316,0.355
877.5,1072.5,0.49,0.323
878.5,1071.5,0.459,0.27
879.5,1070.5,0.37,0.311
880.5,1069.5,0.402,0.437
881.5,1068.5,0.846,0.41
882.5,1067.5,0.364,0.491
883.5,1066.5,0.462,0.396
884.5,1065.5,0.448,0.412
885.5,1064.5,0.417,0.401
886.5,1063.5,0.368,0.456
887.5,1062.5,0.379,0.372
888.5,1061.5,0.512,0.356
889.5,1060.5,0.421,0.451
890.5,1059.5,0.429,0.564
891.5,1058.5,0.416,0.36
892.5,1057.5,0.393,0.443
893.5,1056.5,0.596,0.361
894.5,1055.5,0.419,0.412
895.5,1054.5,0.442,0.646
896.5,1053.5,0.468,0.378
897.5,1052.5,0.488,0.378
898.5,1051.5,0.454,0.438
899.5,1050.5,0.446,0.361
900.5,1049.5,0.448,0.498
901.5,1048.5,0.472,0.687
902.5,1047.5,0.497,0.472
903.5,1046.5,0.669,0.457
904.5,1045.5,0.411,0.404
905.5,1044.5,0.327,0.178
906.5,1043.5,0.38,0.329
907.5,1042.5,0.349,0.194
908.5,1041.5,0.352,0.284
909.5,1040.5,0.551,0.381
910.5,1039.5,0.468,0.508
911.5,1038.5,0.569,0.596
912.5,1037.5,0.405,0.485
913.5,1036.5,0.843,0.357
914.5,1035.5,0.482,0.235
915.5,1034.5,0.461,0.305
916.5,1033.5,0.535,0.318
917.5,1032.5,0.304,0.108
918.5,1031.5,0.341,0.455
919.5,1030.5,0.509,0.497
920.5,1029.5,0.476,0.606
921.5,1028.5,0.669,0.599
922.5,1027.5,0.428,0.58
923.5,1026.5,0.376,0.514
924.5,1025.5,0.498,0.558
925.5,1024.5,0.606,0.443
926.5,1023.5,0.378,0.395
927.5,1022.5,0.399,0.497
928.5,1021.5,0.343,0.345
929.5,1020.5,0.323,0.357
930.5,1019.5,0.406,0.463
931.5,1018.5,1.012,0.442
932.5,1017.5,0.474,0.58
933.5,1016.5,0.454,0.765
934.5,1015.5,0.356,0.584
935.5,1014.5,0.406,0.777
936.5,1013.5,0.432,0.4
937.5,1012.5,0.878,0.46
938.5,1011.5,0.494,0.442
939.5,1010.5,0.385,0.45
940.5,1009.5,0.331,0.441
941.5,1008.5,0.772,0.386
942.5,1007.5,0.586,0.48
943.5,1006.5,0.534,0.495
944.5,1005.5,0.711,0.581
945.5,1004.5,0.459,0.347
946.5,1003.5,1.109,0.341
947.5,1002.5,0.465,0.421
948.5,1001.5,0.45,0.308
949.5,1000.5,0.534,0.426
950.5,999.5,0.605,0.475
951.5,998.5,0.471,0.398
952.5,997.5,0.488,0.21
953.5,996.5,0.461,0.508
954.5,995.5,0.474,0.388
955.5,994.5,0.565,0.452
956.5,993.5,0.462,0.624
957.5,992.5,0.528,0.477
958.5,991.5,0.744,0.335
959.5,990.5,0.56,0.533
960.5,989.5,0.635,0.716
961.5,988.5,0.568,0.246
962.5,987.5,1.275,0.811
963.5,986.5,0.711,0.387
964.5,985.5,0.58,0.332
965.5,984.5,0.346,0.332
966.5,983.5,0.413,0.388
967.5,982.5,0.582,0.615
968.5,981.5,0.571,0.448
969.5,980.5,0.385,0.318
970.5,979.5,0.384,0.381
971.5,978.5,0.39,0.396
972.5,977.5,0.767,0.373
973.5,976.5,1.326,0.498
974.5,975.5,0.299,0.301
975.5,974.5,0.205,0.401
976.5,973.5,0.249,0.578
977.5,972.5,0.274,0.402
978.5,971.5,0.446,0.291
979.5,970.5,0.491,0.762
980.5,969.5,0.4,0.338
981.5,968.5,0.796,0.323
982.5,967.5,0.453,0.295
983.5,966.5,0.64,0.431
984.5,965.5,0.451,0.345
985.5,964.5,0.27,0.716
986.5,963.5,0.366,0.455
987.5,962.5,0.367,0.535
988.5,961.5,0.473,0.627
989.5,960.5,0.406,0.287
990.5,959.5,0.424,0.203
991.5,958.5,0.662,0.421
992.5,957.5,0.474,0.653
993.5,956.5,0.571,0.795
994.5,955.5,0.413,0.599
995.5,954.5,0.47,0.316
996.5,953.5,0.447,0.402
997.5,952.5,0.622,0.072
998.5,951.5,0.434,0.194
999.5,950.5,0.449,0.31
1000.5,949.5,0.479,0.136
1001.5,948.5,0.556,0.24
1002.5,947.5,0.448,0.418
1003.5,946.5,0.394,0.33
1004.5,945.5,0.404,0.323
1005.5,944.5,0.481,-0.108
1006.5,943.5,0.469,0.388
1007.5,942.5,0.53,0.358
1008.5,941.5,0.478,0.73
1009.5,940.5,0.347,0.114
1010.5,939.5,0.287,0.447
1011.5,938.5,0.237,0.382
1012.5,937.5,0.339,0.418
1013.5,936.5,0.255,0.551
1014.5,935.5,0.271,0.518
1015.5,934.5,0.173,0.426
1016.5,933.5,0.192,0.539
1017.5,932.5,0.219,0.354
1018.5,931.5,0.234,0.309
1019.5,930.5,0.366,0.324
1020.5,929.5,0.377,0.409
1021.5,928.5,0.404,0.448
1022.5,927.5,0.41,0.367
1023.5,926.5,0.357,0.657
1024.5,925.5,0.396,0.402
1025.5,924.5,0.334,0.84
1026.5,923.5,0.417,0.381
1027.5,922.5,0.468,0.477
1028.5,921.5,0.381,0.429
1029.5,920.5,0.447,0.442
1030.5,919.5,0.353,0.544
1031.5,918.5,0.509,0.506
1032.5,917.5,0.411,0.414
1033.5,916.5,0.402,0.388
1034.5,915.5,0.265,0.099
1035.5,914.5,0.659,0.113
1036.5,913.5,0.331,0.414
1037.5,912.5,0.523,0.561
1038.5,911.5,0.671,0.437
1039.5,910.5,0.444,0.424
1040.5,909.5,0.33,0.397
1041.5,908.5,0.431,0.441
1042.5,907.5,0.406,0.346
1043.5,906.5,0.422,0.443
1044.5,905.5,0.445,0.347
1045.5,904.5,0.515,0.49
1046.5,903.5,0.364,0.424
1047.5,902.5,0.341,0.383
1048.5,901.5,0.42,0.475
1049.5,900.5,0.342,0.882
1050.5,899.5,0.452,0.46
1051.5,898.5,0.464,0.551
1052.5,897.5,0.277,0.467
1053.5,896.5,0.338,0.399
1054.5,895.5,0.311,0.635
1055.5,894.5,0.154,0.267
1056.5,893.5,0.291,0.317
1057.5,892.5,0.301,0.441
1058.5,891.5,0.239,0.439
1059.5,890.5,0.179,0.326
1060.5,889.5,0.324,0.552
1061.5,888.5,0.208,0.252
1062.5,887.5,0.261,0.377
1063.5,886.5,0.179,0.458
1064.5,885.5,0.18,0.501
1065.5,884.5,0.2,0.341
1066.5,883.5,0.277,0.521
1067.5,882.5,0.306,0.458
1068.5,881.5,0.33,0.399
1069.5,880.5,0.276,0.784
1070.5,879.5,0.238,0.464
1071.5,878.5,0.289,0.544
1072.5,877.5,0.191,0.415
1073.5,876.5,0.234,0.521
1074.5,875.5,0.313,0.364
1075.5,874.5,0.269,0.437
1076.5,873.5,0.397,0.35
1077.5,872.5,0.359,0.604
1078.5,871.5,0.389,0.409
1079.5,870.5,0.236,0.208
1080.5,869.5,0.72,0.342
1081.5,868.5,0.323,0.408
1082.5,867.5,0.309,0.454
1083.5,866.5,0.262,0.359
1084.5,865.5,0.316,0.322
1085.5,864.5,0.309,0.342
1086.5,863.5,0.243,0.347
1087.5,862.5,1.568,0.442
1088.5,861.5,0.319,0.441
1089.5,860.5,0.403,0.287
1090.5,859.5,0.38,0.336
1091.5,858.5,0.367,0.308
1092.5,857.5,0.516,0.358
1093.5,856.5,0.284,0.265
1094.5,855.5,0.307,0.487
1095.5,854.5,0.467,0.457
1096.5,853.5,0.285,0.29
1097.5,852.5,0.453,0.701
1098.5,851.5,0.457,0.697
1099.5,850.5,0.39,0.444
1100.5,849.5,0.294,0.479
1101.5,848.5,0.433,0.491
1102.5,847.5,0.399,0.315
1103.5,846.5,0.318,0.781
1104.5,845.5,0.409,0.592
1105.5,844.5,0.47,0.396
1106.5,843.5,0.507,0.285
1107.5,842.5,0.449,0.139
1108.5,841.5,0.394,0.387
1109.5,840.5,0.429,0.598
1110.5,839.5,0.282,0.113
1111.5,838.5,0.42,0.319
1112.5,837.5,0.381,0.347
1113.5,836.5,0.38,0.298
1114.5,835.5,0.331,0.341
1115.5,834.5,0.782,0.258
1116.5,833.5,0.3,0.428
1117.5,832.5,0.322,0.452
1118.5,831.5,0.348,0.487
1119.5,830.5,0.473,0.563
1120.5,829.5,0.5,0.473
1121.5,828.5,0.503,0.169
1122.5,827.5,0.368,0.236
1123.5,826.5,0.546,0.624
1124.5,825.5,0.384,0.342
1125.5,824.5,0.385,0.378
1126.5,823.5,0.474,0.423
1127.5,822.5,0.323,0.465
1128.5,821.5,0.37,0.395
1129.5,820.5,0.338,0.341
1130.5,819.5,0.27,0.233
1131.5,818.5,0.305,0.159
1132.5,817.5,0.462,0.281
1133.5,816.5,0.393,0.51
1134.5,815.5,0.321,0.132
1135.5,814.5,0.292,0.241
1136.5,813.5,0.269,0.345
1137.5,812.5,0.279,0.324
1138.5,811.5,0.257,0.122
1139.5,810.5,0.399,0.246
1140.5,809.5,0.303,0.348
1141.5,808.5,0.359,0.154
1142.5,807.5,0.273,0.301
1143.5,806.5,0.366,0.373
1144.5,805.5,0.546,0.39
1145.5,804.5,0.531,0.534
1146.5,803.5,0.324,0.168
1147.5,802.5,0.218,0.343
1148.5,801.5,0.276,0.296
1149.5,800.5,0.345,0.366
1150.5,799.5,0.455,0.304
1151.5,798.5,0.828,0.788
1152.5,797.5,0.466,0.409
1153.5,796.5,0.384,0.362
1154.5,795.5,0.469,0.374
1155.5,794.5,0.365,0.449
1156.5,793.5,0.383,0.335
1157.5,792.5,0.5,0.476
1158.5,791.5,0.444,0.447
1159.5,790.5,0.36,0.359
1160.5,789.5,0.453,0.366
1161.5,788.5,0.551,0.584
1162.5,787.5,0.427,0.342
1163.5,786.5,0.41,0.386
1164.5,785.5,0.432,0.348
1165.5,784.5,0.424,0.27
1166.5,783.5,0.533,0.469
1167.5,782.5,0.503,0.445
1168.5,781.5,"NaN","NaN"
1169.5,780.5,"NaN","NaN"
1170.5,779.5,0.565,0.785
1171.5,778.5,0.482,0.509
1172.5,777.5,0.557,0.338
1173.5,776.5,0.5,0.558
1174.5,775.5,0.45,0.59
1175.5,774.5,0.416,0.569
1176.5,773.5,0.527,0.718
1177.5,772.5,0.482,0.523
1178.5,771.5,0.365,0.503
1179.5,770.5,0.394,0.519
1180.5,769.5,0.463,0.462
1181.5,768.5,0.41,0.447
1182.5,767.5,0.352,0.735
1183.5,766.5,0.374,0.514
1184.5,765.5,0.431,0.533
1185.5,764.5,0.36,0.562
1186.5,763.5,0.604,0.595
1187.5,762.5,0.382,0.548
1188.5,761.5,0.421,0.468
1189.5,760.5,0.353,0.616
1190.5,759.5,0.413,0.724
1191.5,758.5,0.261,0.471
1192.5,757.5,0.32,0.571
1193.5,756.5,0.311,0.542
1194.5,755.5,0.267,0.728
1195.5,754.5,0.428,0.585
1196.5,753.5,0.374,0.558
1197.5,752.5,0.354,0.616
1198.5,751.5,0.475,0.408
1199.5,750.5,0.458,0.57
1200.5,749.5,0.555,0.511
1201.5,748.5,0.509,0.668
1202.5,747.5,0.466,0.547
1203.5,746.5,0.363,0.359
1204.5,745.5,0.428,0.473
1205.5,744.5,0.496,0.753
1206.5,743.5,0.385,0.827
1207.5,742.5,0.478,0.668
1208.5,741.5,0.574,0.615
1209.5,740.5,0.459,0.578
1210.5,739.5,0.475,0.702
1211.5,738.5,0.468,0.553
1212.5,737.5,0.5,0.596
1213.5,736.5,0.42,0.569
1214.5,735.5,0.442,0.377
1215.5,734.5,0.451,0.59
1216.5,733.5,0.407,0.415
1217.5,732.5,0.444,0.628
1218.5,731.5,0.536,0.548
1219.5,730.5,0.388,0.684
1220.5,729.5,0.403,0.513
1221.5,728.5,0.425,0.558
1222.5,727.5,0.342,0.467
1223.5,726.5,0.441,0.595
1224.5,725.5,0.47,0.363
1225.5,724.5,0.435,0.545
1226.5,723.5,0.463,0.509
1227.5,722.5,0.718,0.398
1228.5,721.5,0.357,0.407
1229.5,720.5,0.428,0.678
1230.5,719.5,0.407,0.552
1231.5,718.5,0.43,0.763
1232.5,717.5,0.316,0.549
1233.5,716.5,0.553,0.486
1234.5,715.5,0.359,0.474
1235.5,714.5,0.302,0.492
1236.5,713.5,0.63,0.528
1237.5,712.5,0.445,0.48
1238.5,711.5,0.42,0.421
1239.5,710.5,0.307,0.391
1240.5,709.5,0.31,0.441
1241.5,708.5,0.365,0.494
1242.5,707.5,0.445,0.403
1243.5,706.5,0.404,0.587
1244.5,705.5,0.396,0.346
1245.5,704.5,0.651,0.386
1246.5,703.5,0.437,0.439
1247.5,702.5,0.466,0.551
1248.5,701.5,0.54,0.578
1249.5,700.5,0.438,0.378
1250.5,699.5,0.319,0.29
1251.5,698.5,0.435,0.483
1252.5,697.5,0.375,0.431
1253.5,696.5,"NaN","NaN"
1254.5,695.5,0.383,0.446
1255.5,694.5,0.421,0.398
1256.5,693.5,0.47,0.617
1257.5,692.5,0.412,0.555
1258.5,691.5,0.374,0.396
1259.5,690.5,0.473,0.704
1260.5,689.5,0.412,0.44
1261.5,688.5,0.458,0.443
1262.5,687.5,0.459,0.604
1263.5,686.5,0.429,0.43
1264.5,685.5,0.403,0.373
1265.5,684.5,0.436,0.4
1266.5,683.5,0.433,0.508
1267.5,682.5,0.327,0.546
1268.5,681.5,0.542,0.605
1269.5,680.5,0.517,0.823
1270.5,679.5,0.383,0.877
1271.5,678.5,0.333,0.678
1272.5,677.5,0.365,0.476
1273.5,676.5,0.492,1.748
1274.5,675.5,0.448,0.362
1275.5,674.5,0.434,0.509
1276.5,673.5,0.398,0.602
1277.5,672.5,0.377,0.482
1278.5,671.5,0.342,0.134
1279.5,670.5,0.385,0.425
1280.5,669.5,0.479,0.467
1281.5,668.5,0.332,0.442
